key	var	String	Fret1	Finger1	Fret2	Finger2
C	maj	G(4th)				
C	maj	C(3rd)				
C	maj	E(2nd)				
C	maj	A(1st)	3	3		
C	7	G(4th)				
C	7	C(3rd)				
C	7	E(2nd)				
C	7	A(1st)	1	1		
C	m	G(4th)				
C	m	C(3rd)	3	1		
C	m	E(2nd)	3	1		
C	m	A(1st)	3	1		
C	m7	G(4th)	3	1		
C	m7	C(3rd)	3	1		
C	m7	E(2nd)	3	1		
C	m7	A(1st)	3	1		
C	dim	G(4th)	2	1		
C	dim	C(3rd)	3	3		
C	dim	E(2nd)	2	2		
C	dim	A(1st)	3	4		
C	aug	G(4th)	1	1		
C	aug	C(3rd)	0			
C	aug	E(2nd)	0			
C	aug	A(1st)	3	3		
C	9	G(4th)				
C	9	C(3rd)	2	2		
C	9	E(2nd)				
C	9	A(1st)	1	1		
C#	maj	G(4th)	1	1		
C#	maj	C(3rd)	1	1		
C#	maj	E(2nd)	1	1		
C#	maj	A(1st)	4	4		
C#	7	G(4th)	1	1		
C#	7	C(3rd)	1	1		
C#	7	E(2nd)	1	1		
C#	7	A(1st)	2	2		
C#	m	G(4th)	1	1		
C#	m	C(3rd)	1	2		
C#	m	E(2nd)				
C#	m	A(1st)	4	4		
C#	m7	G(4th)	4	1		
C#	m7	C(3rd)	4	1		
C#	m7	E(2nd)	4	1		
C#	m7	A(1st)	4	1		
C#	dim	G(4th)				
C#	dim	C(3rd)	1	1		
C#	dim	E(2nd)				
C#	dim	A(1st)	1	2		
C#	aug	G(4th)	2	3		
C#	aug	C(3rd)	1	1		
C#	aug	E(2nd)	1	2		
C#	aug	A(1st)				
C#	9	G(4th)	1	1		
C#	9	C(3rd)	3	3	1	1
C#	9	E(2nd)	1	1		
C#	9	A(1st)	2	2		
D	maj	G(4th)	2	1		
D	maj	C(3rd)	2	1		
D	maj	E(2nd)	2	2		
D	maj	A(1st)				
D	7	G(4th)	2	1		
D	7	C(3rd)	2	1		
D	7	E(2nd)	2	1		
D	7	A(1st)	3	2		
D	m	G(4th)	2	2		
D	m	C(3rd)	2	3		
D	m	E(2nd)	1	1		
D	m	A(1st)				
D	m7	G(4th)	5	1		
D	m7	C(3rd)	5	1		
D	m7	E(2nd)	5	1		
D	m7	A(1st)	5	1		
D	dim	G(4th)	1	1		
D	dim	C(3rd)	2	3		
D	dim	E(2nd)	1	2		
D	dim	A(1st)	2	4		
D	aug	G(4th)	3	4		
D	aug	C(3rd)	2	2		
D	aug	E(2nd)	2	3		
D	aug	A(1st)	1	1		
D	9	G(4th)	2	1		
D	9	C(3rd)	4	3		
D	9	E(2nd)	2	1		
D	9	A(1st)	3	2		
D#	maj	G(4th)				
D#	maj	C(3rd)	3	2		
D#	maj	E(2nd)	3	3		
D#	maj	A(1st)	1	1		
D#	7	G(4th)	3	1		
D#	7	C(3rd)	3	1		
D#	7	E(2nd)	3	1		
D#	7	A(1st)	4	2		
D#	m	G(4th)	3	3		
D#	m	C(3rd)	3	4		
D#	m	E(2nd)	2	2		
D#	m	A(1st)	1	1		
D#	m7	G(4th)	3	2		
D#	m7	C(3rd)	3	3		
D#	m7	E(2nd)	2	1		
D#	m7	A(1st)	4	4		
D#	dim	G(4th)	2	1		
D#	dim	C(3rd)	3	3		
D#	dim	E(2nd)	2	2		
D#	dim	A(1st)	3	4		
D#	aug	G(4th)	4	4		
D#	aug	C(3rd)	3	2		
D#	aug	E(2nd)	3	3		
D#	aug	A(1st)	2	1		
D#	9	G(4th)				
D#	9	C(3rd)	1	1		
D#	9	E(2nd)	1	1		
D#	9	A(1st)	1	1		
E	maj	G(4th)	4	2		
E	maj	C(3rd)	4	3		
E	maj	E(2nd)	4	4		
E	maj	A(1st)	2	1		
E	7	G(4th)	1	1		
E	7	C(3rd)	2	2		
E	7	E(2nd)				
E	7	A(1st)	2	3		
E	m	G(4th)				
E	m	C(3rd)	4	3		
E	m	E(2nd)	3	2		
E	m	A(1st)	2	1		
E	m7	G(4th)	4	2		
E	m7	C(3rd)	4	3		
E	m7	E(2nd)	3	1		
E	m7	A(1st)	5	4		
E	dim	G(4th)				
E	dim	C(3rd)	1	1		
E	dim	E(2nd)				
E	dim	A(1st)	1	2		
E	aug	G(4th)	1	1		
E	aug	C(3rd)				
E	aug	E(2nd)				
E	aug	A(1st)	3	3		
E	9	G(4th)	1	1		
E	9	C(3rd)	2	2		
E	9	E(2nd)	2	2		
E	9	A(1st)	2	2		
F	maj	G(4th)	2	2		
F	maj	C(3rd)				
F	maj	E(2nd)	1	1		
F	maj	A(1st)				
F	7	G(4th)	2	2		
F	7	C(3rd)	3	3		
F	7	E(2nd)	1	1		
F	7	A(1st)				
F	m	G(4th)	1	1		
F	m	C(3rd)				
F	m	E(2nd)	1	2		
F	m	A(1st)	3	4		
F	m7	G(4th)	1	1		
F	m7	C(3rd)	3	3	1	1
F	m7	E(2nd)	1	1		
F	m7	A(1st)	3	4		
F	dim	G(4th)	1	1		
F	dim	C(3rd)	2	3		
F	dim	E(2nd)	1	2		
F	dim	A(1st)	2	4		
F	aug	G(4th)	2	3		
F	aug	C(3rd)	1	1		
F	aug	E(2nd)	1	2		
F	aug	A(1st)				
F	9	G(4th)	2	1		
F	9	C(3rd)	3	2		
F	9	E(2nd)	3	2		
F	9	A(1st)	3	2		
F#	maj	G(4th)	3	3		
F#	maj	C(3rd)	1	1		
F#	maj	E(2nd)	2	2	1	1
F#	maj	A(1st)	1	1		
F#	7	G(4th)	3	2		
F#	7	C(3rd)	4	3		
F#	7	E(2nd)	2	1		
F#	7	A(1st)	5	4		
F#	m	G(4th)	2	2		
F#	m	C(3rd)	1	1		
F#	m	E(2nd)	2	3		
F#	m	A(1st)				
F#	m7	G(4th)	2	1		
F#	m7	C(3rd)	4	3		
F#	m7	E(2nd)	2	2		
F#	m7	A(1st)	4	4		
F#	dim	G(4th)	2	1		
F#	dim	C(3rd)	3	3		
F#	dim	E(2nd)	2	2		
F#	dim	A(1st)	3	4		
F#	aug	G(4th)	3	4		
F#	aug	C(3rd)	2	2		
F#	aug	E(2nd)	2	3		
F#	aug	A(1st)	1	1		
F#	9	G(4th)	2	1		
F#	9	C(3rd)	3	2		
F#	9	E(2nd)	3	2		
F#	9	A(1st)	3	2		
G	maj	G(4th)				
G	maj	C(3rd)	2	1		
G	maj	E(2nd)	3	3		
G	maj	A(1st)	2	2		
G	7	G(4th)				
G	7	C(3rd)	2	2		
G	7	E(2nd)	1	1		
G	7	A(1st)	2	3		
G	m	G(4th)				
G	m	C(3rd)	2	2		
G	m	E(2nd)	3	3		
G	m	A(1st)	1	1		
G	m7	G(4th)				
G	m7	C(3rd)	2	2		
G	m7	E(2nd)	1	1		
G	m7	A(1st)	1	1		
G	dim	G(4th)				
G	dim	C(3rd)	1	1		
G	dim	E(2nd)				
G	dim	A(1st)	1	2		
G	aug	G(4th)	4	4		
G	aug	C(3rd)	3	2		
G	aug	E(2nd)	3	3		
G	aug	A(1st)	2	1		
G	9	G(4th)	2	2		
G	9	C(3rd)	2	3		
G	9	E(2nd)	1	1		
G	9	A(1st)	2	4		
G#	maj	G(4th)	5	3		
G#	maj	C(3rd)	3	1		
G#	maj	E(2nd)	4	2	3	1
G#	maj	A(1st)	3	1		
G#	7	G(4th)	1	1		
G#	7	C(3rd)	3	3		
G#	7	E(2nd)	2	2		
G#	7	A(1st)	3	4		
G#	m	G(4th)	4	3		
G#	m	C(3rd)	3	2		
G#	m	E(2nd)	4	4		
G#	m	A(1st)	2	1		
G#	m7	G(4th)	1	1		
G#	m7	C(3rd)	3	4		
G#	m7	E(2nd)	2	3		
G#	m7	A(1st)	2	2		
G#	dim	G(4th)	1	1		
G#	dim	C(3rd)	2	3		
G#	dim	E(2nd)	1	2		
G#	dim	A(1st)	2	4		
G#	aug	G(4th)	1	1		
G#	aug	C(3rd)				
G#	aug	E(2nd)				
G#	aug	A(1st)	3	3		
G#	9	G(4th)	3	2		
G#	9	C(3rd)	3	3		
G#	9	E(2nd)	2	1		
G#	9	A(1st)	3	4		
A	maj	G(4th)	2	2		
A	maj	C(3rd)	1	1		
A	maj	E(2nd)				
A	maj	A(1st)				
A	7	G(4th)				
A	7	C(3rd)	1	1		
A	7	E(2nd)				
A	7	A(1st)				
A	m	G(4th)	2	2		
A	m	C(3rd)				
A	m	E(2nd)				
A	m	A(1st)				
A	m7	G(4th)				
A	m7	C(3rd)				
A	m7	E(2nd)				
A	m7	A(1st)				
A	dim	G(4th)	2	1		
A	dim	C(3rd)	3	3		
A	dim	E(2nd)	2	2		
A	dim	A(1st)	3	4		
A	aug	G(4th)	2	3		
A	aug	C(3rd)	1	1		
A	aug	E(2nd)	1	2		
A	aug	A(1st)				
A	9	G(4th)				
A	9	C(3rd)	1	1		
A	9	E(2nd)				
A	9	A(1st)	2	2		
A#	maj	G(4th)	3	3		
A#	maj	C(3rd)	2	2		
A#	maj	E(2nd)	1	1		
A#	maj	A(1st)	1	1		
A#	7	G(4th)	1	1		
A#	7	C(3rd)	2	2	1	1
A#	7	E(2nd)	1	1		
A#	7	A(1st)	1	1		
A#	m	G(4th)	3	3		
A#	m	C(3rd)	1	1		
A#	m	E(2nd)	1	1		
A#	m	A(1st)	1	1		
A#	m7	G(4th)	1	1		
A#	m7	C(3rd)	1	1		
A#	m7	E(2nd)	1	1		
A#	m7	A(1st)	1	1		
A#	dim	G(4th)				
A#	dim	C(3rd)	1	1		
A#	dim	E(2nd)				
A#	dim	A(1st)	1	2		
A#	aug	G(4th)	3	4		
A#	aug	C(3rd)	2	2		
A#	aug	E(2nd)	2	3		
A#	aug	A(1st)	1	1		
A#	9	G(4th)	1	1		
A#	9	C(3rd)	2	2		
A#	9	E(2nd)	1	1		
A#	9	A(1st)	3	3		
B	maj	G(4th)	4	3		
B	maj	C(3rd)	3	2		
B	maj	E(2nd)	2	1		
B	maj	A(1st)	2	1		
B	7	G(4th)	4	3		
B	7	C(3rd)	3	2		
B	7	E(2nd)	2	1		
B	7	A(1st)				
B	m	G(4th)	4	3		
